100, 277, 100, 
200, 854, 300, 
300, 1731, 600, 
400, 2908, 1000, 
500, 4385, 1500, 
600, 6162, 2100, 
700, 8239, 2800, 
800, 10616, 3600, 
900, 13293, 4500, 
1000, 16270, 5500, 
1100, 19547, 6600, 
1200, 23124, 7800, 
1300, 27001, 9100, 
1400, 31178, 10500, 
1500, 35655, 12000, 
1600, 40432, 13600, 
1700, 45509, 15300, 
1800, 50886, 17100, 
1900, 56563, 19000, 
2000, 62540, 21000, 
2100, 68817, 23100, 
2200, 75394, 25300, 
2300, 82271, 27600, 
2400, 89448, 30000, 
2500, 96925, 32500, 
2600, 104702, 35100, 
2700, 112779, 37800, 
2800, 121156, 40600, 
2900, 129833, 43500, 
3000, 138810, 46500, 
3100, 148087, 49600, 
3200, 157664, 52800, 
3300, 167541, 56100, 
3400, 177718, 59500, 
3500, 188195, 63000, 
3600, 198972, 66600, 
3700, 210049, 70300, 
3800, 221426, 74100, 
3900, 233103, 78000, 
4000, 245080, 82000, 
4100, 257357, 86100, 
4200, 269934, 90300, 
4300, 282811, 94600, 
4400, 295988, 99000, 
4500, 309465, 103500, 
4600, 323242, 108100, 
4700, 337319, 112800, 
4800, 351696, 117600, 
4900, 366373, 122500, 
5000, 381350, 127500, 
5100, 396627, 132600, 
5200, 412204, 137800, 
5300, 428081, 143100, 
5400, 444258, 148500, 
5500, 460735, 154000, 
5600, 477512, 159600, 
5700, 494589, 165300, 
5800, 511966, 171100, 
5900, 529643, 177000, 
6000, 547620, 183000, 
6100, 565897, 189100, 
6200, 584474, 195300, 
6300, 603351, 201600, 
6400, 622528, 208000, 
6500, 642005, 214500, 
6600, 661782, 221100, 
6700, 681859, 227800, 
6800, 702236, 234600, 
6900, 722913, 241500, 
7000, 743890, 248500, 
7100, 765167, 255600, 
7200, 786744, 262800, 
7300, 808621, 270100, 
7400, 830798, 277500, 
7500, 853275, 285000, 
7600, 876052, 292600, 
7700, 899129, 300300, 
7800, 922506, 308100, 
7900, 946183, 316000, 
8000, 970160, 324000, 
8100, 994437, 332100, 
8200, 1019014, 340300, 
8300, 1043891, 348600, 
8400, 1069068, 357000, 
8500, 1094545, 365500, 
8600, 1120322, 374100, 
8700, 1146399, 382800, 
8800, 1172776, 391600, 
8900, 1199453, 400500, 
9000, 1226430, 409500, 
9100, 1253707, 418600, 
9200, 1281284, 427800, 
9300, 1309161, 437100, 
9400, 1337338, 446500, 
9500, 1365815, 456000, 
9600, 1394592, 465600, 
9700, 1423669, 475300, 
9800, 1453046, 485100, 
9900, 1482723, 495000, 
10000, 1482727, 505000, 
